a,p,tmax,delta
0.1,0,50,0
0.1,0,100,0
0.1,0,200,0
0.1,0,400,0
0.1,0.2,50,0
0.1,0.2,100,0
0.1,0.2,200,0
0.1,0.2,400,0
0.1,0.4,50,0.2
0.1,0.4,100,0
0.1,0.4,200,0
0.1,0.4,400,0
0.1,0.6,50,0.2
0.1,0.6,100,0
0.1,0.6,200,0
0.1,0.6,400,0
0.1,0.8,50,0
0.1,0.8,100,0
0.1,0.8,200,0
0.1,0.8,400,0
0.1,1,50,0
0.1,1,100,0
0.1,1,200,0
0.1,1,400,0
0.25,0,50,0.2
0.25,0,100,0
0.25,0,200,0
0.25,0,400,0
0.25,0.2,50,0.2
0.25,0.2,100,0
0.25,0.2,200,0
0.25,0.2,400,0
0.25,0.4,50,0
0.25,0.4,100,0
0.25,0.4,200,0
0.25,0.4,400,0
0.25,0.6,50,0
0.25,0.6,100,0
0.25,0.6,200,0
0.25,0.6,400,0
